charges_citation,race,age_at_booking,gender,booking_date,jail_id,bail_status,housing_location,charges,bail_amount,discharge_date_earliest
720 ILCS 5 12-3.4(a)(2) [16145,WH,26,M,2013-01-20T00:00:00,2013-0120171,None,05-,,5000,None
625 ILCS 5 6-101 [12935],LW,37,M,2013-01-20T00:00:00,2013-0120170,None,05-,,10000,None
720 ILCS 5 12-3(a)(1) [10529],BK,18,M,2013-01-20T00:00:00,2013-0120169,None,05-L-2-2-1,,5000,None
720 ILCS 550 5(c) [5020200],BK,32,F,2013-01-20T00:00:00,2013-0120167,None,17-WR-N-A-2,,50000,None
720 ILCS 5 12-3.2(a)(2) [10418,LW,49,M,2013-01-20T00:00:00,2013-0120165,None,05-,,5000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,26,F,2013-01-20T00:00:00,2013-0120164,None,04-J-2-8-2,,5000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,41,M,2013-01-20T00:00:00,2013-0120163,None,09-1C-1-136,,25000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,56,F,2013-01-20T00:00:00,2013-0120162,None,04-Q-1-22-2,,5000,None
720 ILCS 5 16A-3(a) [1060000],LW,40,M,2013-01-20T00:00:00,2013-0120161,None,03-A-3-17-1,,25000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,20,F,2013-01-20T00:00:00,2013-0120160,None,04-Q-2-16-1,,10000,None
720 ILCS 570 407(b)(1) [512538,BK,58,M,2013-01-20T00:00:00,2013-0120158,None,09-3C-3-336,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,20,F,2013-01-20T00:00:00,2013-0120157,None,04-J-2-11-1,,5000,None
720 ILCS 5 18-2(a)(2) [12366],BK,21,M,2013-01-20T00:00:00,2013-0120155,None,05-L-2-7-2,,100000,None
720 ILCS 570 402(c) [5101110],BK,19,M,2013-01-20T00:00:00,2013-0120154,None,05-L-2-5-1,,10000,None
625 ILCS 5 6-303(d) [5883000],BK,40,M,2013-01-20T00:00:00,2013-0120153,None,05-L-2-7-1,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,37,F,2013-01-20T00:00:00,2013-0120152,None,04-M-1-20-2,,50000,None
720 ILCS 5 12-3.2 [930200],WH,52,M,2013-01-20T00:00:00,2013-0120151,None,05-L-2-1-2,,5000,None
720 ILCS 570 407(b)(1) [512538,BK,19,M,2013-01-20T00:00:00,2013-0120150,None,05-,,10000,None
720 ILCS 5 12-3.2(a)(2) [10418,WH,58,F,2013-01-20T00:00:00,2013-0120149,None,04-Q-1-11-1,,5000,None
720 ILCS 570 402(c) [5101110],BK,53,M,2013-01-20T00:00:00,2013-0120148,None,05-E-2-18-2,,10000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,53,M,2013-01-20T00:00:00,2013-0120147,None,08-3W-DR,,5000,None
720 ILCS 550 4(a) [5015000],BK,21,M,2013-01-20T00:00:00,2013-0120146,None,05-E-2-20-2,,1000,None
720 ILCS 5 12-3.2(a)(1) [10416,WH,39,M,2013-01-20T00:00:00,2013-0120145,None,08-2N-DR,,25000,None
